EID2,GMPD2,Database_agreement,systematic_searchOksanen,Reviewer_Abstract,Include_Abstract,Reviewer_FullText,Include_from_fulltext,DataExtracted,inline_citation,CITATION_ID,TITLE,YEAR,JOURNAL,VOLUME,ISSUE,PAGES,PAGES_start,PAGES_end,page_count,DOI,PMID,Publication_type,open_access,access_method,time_to_access_days,ABSTRACT,FULLTEXT.,Language,exclusion_abstract,exclusion_fulltext,exclusion_data,SDM_ids_dataset_only,SDM_ids_train,SDM_ids_test,authors,Notes,id_method
no,no,0,yes,NA,TBD,,yes,No,,EFSA 2007,"The Community Summary Report on Trends and Sources of Zoonoses, Zoonotic Agents, Antimicrobial Resistance and Foodborne Outbreaks in the European Union in 2006",2007,EFSA Journal,130,,1-353,1,353,353,10.2903/j.efsa.2007.130r,,report,yes,publisher website,0,,Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,Daniel,TBD,,yes,Yes,,Bruzinskaite et al. 2007,"Alveolar echinococcosis, Lithuania",2007,Emerging infectious diseases,13,10,1618-1619,1618,1619,2,10.3201/eid1310.061161,18258025,article,yes,NLM,0,"E. multilocularis in Europe (1), and important intermediate rodent hosts (eg Arvicola terrestris, Microtus arvalis) are present in Lithuania (5), but to date they have not been investigated systematically. The helminth fauna of carnivores in Lithuania had been investigated in a study in 1976, but no record was made for E. multilocularis (6). Notably, E. multilocularis has recently been identified in 1 of 5 muskrats (Ondatra zibethicus) captured in the Å ilutÄ— district of Lithuania (7). The objectives of our study were to estimate the â€¦",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Laurimaa et al. 2015b,"Noninvasive detection of Echinococcus multilocularis tapeworm in urban area, Estonia",2015,Emerging infectious diseases,21,1,163-164,163,164,2,10.3201/eid2101.140136,25531668,article,yes,NLM,0,"To the Editor: Alveolar echinococcosis, which is caused by the fox tapeworm Echinococcus multilocularis, is an emerging disease in Europe that shows a high mortality rate (1). Humans can become infected after ingesting parasite eggs (eg, through direct contact with dogs and red foxes [Vulpes vulpes] or with their contaminated feces). E. multilocularis tapeworm eggs are extremely resistant and can remain viable in the environment for years (2). Numbers of red foxes have increased in many countries in Europe in recent decades â€¦",Yes,English,,,,,,,NA,,SystematicSearch
no,yes,1,yes,not-needed,yes,RR,yes,yes,no,Sreter et al. 2003a,Echinococcus multilocularis: An emerging pathogen in Hungary and central eastern Europe?,2003,Emerging infectious diseases,9,3,384-386,384,386,3,10.3201/eid0903.020320,12643838,article,yes,NLM,0,"Echinococcus multilocularis, the causative agent of human alveolar echinococcosis, is reported for the first time in Red Foxes (Vulpes vulpes) in Hungary. This parasite may be spreading eastward because the population of foxes has increased as a consequence of human interventions, and this spread may result in the emergence of alveolar echinococcosis in Central Eastern Europe.",Yes,English,,,location size,GMPD_394,,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Sreter et al. 2004,Echinococcus multilocularis in Northern Hungary.,2004,Emerging infectious diseases,10,7,1344-1346,1344,1346,3,10.3201/eid1007.031027,15338552,article,yes,NLM,0,"Of 150 foxes examined, 19 animals from four counties (Gyor-Sopron, KomÃ¡rom-Esztergom, Pest, and NÃ³grÃ¡d) harbored 2, 3, 4, 6, 7, 14, 22, 31, 51, 54, 114, 130, 200, 250, 300, 400, 800, and 1,300, and 5,500 mature worms of Echinococcus. On the basis of the most important morphometric guidelines and the results of the species-specific polymerase chain reaction (PCR) assay, the parasites were identified as E. multilocularis. The examined foxes were found from 5 to 70 km from the known endemic areas of the Slovak Republic, Austria â€¦",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,AM,yes,yes,no,Wang et al. 2006,"Pasture Types And Echinococcus Multilocularis, Tibetan Communities.",2006,Emerging infectious diseases,12,6,1008-10,1008,1010,3,10.3201/eid1206.041229,16707064,article,yes,NLM,0,Our study showed that open pastures had more small mammal burrows than fenced pastures in Tibetan pastoralist communities in 2003. This characteristic was linked to a higher prevalence of Echinococcus multilocularis in dogs and indicates that pasture type may affect E. multilocularis transmission.,Yes,English,,,location size,"EID2b_17152955a, EID2b_17152955b, EID_260",,,NA,,Snowballing
yes,yes,2,no,not-needed,yes,RR,yes,yes,no,Fuglei et al. 2008,"Spatial distribution of Echinococcus multilocularis, Svalbard, Norway",2008,Emerging infectious diseases,14,1,73-5,73,75,3,10.3201/eid1401.070565,18258082,article,yes,NLM,0,"In Svalbard, Norway, the only intermediate host for Echinococcus multilocularis, the sibling vole, has restricted spatial distribution. A survey of feces from the main host, the arctic fox, showed that only the area occupied by the intermediate host is associated with increased risk for human infection.",Yes,English,,,,"GMPD_019, GMPD_020, GMPD_021",,,NA,,Snowballing
no,no,0,yes,,,,,no,,Hegglin and Deplazes 2008,Control strategy for Echinococcus multilocularis,2008,Emerging infectious diseases,14,10,1626–28,1626,1628,3,10.3201/eid1410.080522,,Journal Article,yes,NLM,0,,,English,,No epidemiological data,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,AM,yes,yes,yes,Catalano et al. 2012,"Echinococcus Multilocularis In Urban Coyotes, Alberta, Canada.",2012,Emerging infectious diseases,18,10,1625-8,1625,1628,4,10.3201/eid.1810.120119,23017505,article,yes,NLM,0,"Echinococcus multilocularis is a zoonotic parasite in wild canids. We determined its frequency in urban coyotes (Canis latrans) in Alberta, Canada. We detected E. multilocularis in 23 of 91 coyotes in this region. This parasite is a public health concern throughout the Northern Hemisphere, partly because of increased urbanization of wild canids.",Yes,English,,,,EID_006,EID_246,,NA,,Snowballing
yes,no,1,yes,ARW; KA,yes,AM,yes,yes,no,Combes et al. 2012,"Westward spread of Echinococcus multilocularis in foxes, France, 2005-2010.",2012,Emerging infectious diseases,18,12,2059-2062,2059,2062,4,10.3201/eid1812.120219,23171707,article,yes,NLM,0,"During 2005-2010, we investigated Echinococcus multilocularis infection within fox populations in a large area in France. The parasite is much more widely distributed than hitherto thought, spreading west, with a much higher prevalence than previously reported. The parasite also is present in the large conurbation of Paris.",Yes,English,,,location size,EID_248,,,NA,,SystematicSearch
no,no,0,yes,Daniel,TBD,,yes,No,,Hegglin et al. 2003,Anthelmintic baiting of foxes against urban contamination with Echinococcus multilocularis,2003,Emerging infectious diseases,9,10,1266-1272,1266,1272,7,10.3201/eid0910.030138,14609462,article,yes,NLM,0,"In recent years, increases in the urban fox population have been observed in many countries of the Northern Hemisphere. As a result, Echinococcus multilocularis has entered the urban environment. Because of a possible increased risk for alveolar echinococcosis, intervention strategies need to be evaluated. In ZÃ¼rich, Switzerland, 50 praziquantel- containing baits per km 2 were distributed monthly in six 1-km 2 bait areas and one 6-km 2 bait area from April 2000 through October 2001. The proportion of E. multilocularis â€¦",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Staubach et al. 2001b,"Echinococcosis surveillance: bayesian time-space analysis of Echinococcus multilocularis infections in foxes in Thuringia, Germany",2011,Epidemiologie et Sante Animale,60,,23–5,23,25,3,none,,Journal Article,no,UGA Library,,,,English,,Duplicated,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Saegerman et al. 2006,Risk assessment of the presence of Echinococcus multilocularis and Toxocara canis in foxes from Brussels,2006,Epidemiologie et Sante Animale,50,,97-104,97,104,8,none,,article,no,UGA Library,,"During the last decades, European red foxes (Vulpes vulpes) have been implicated in the transmission of several viral or parasitic pathogenic agents to domestic animals and humans. In urban areas, risks of zoonoses transmission are likely to increase as a result of a higher rate of intra- and inter-species contacts. Foxes occur on 35% of the Brussels-Capital Region area and local densities reach up to 4 family groups per km². According to the directive 2003/99/ECC, a first survey for the presence in foxes of Echinococcus multilocularis and Toxocara canis was conducted in Brussels from 2001 to 2004. ",Yes,French,,,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Gilot et al. 1983,Alveolar hydatidosis: epidemiological review,1983,Epidemiologie et Sante Animale,4,,17–28,17,28,12,none,,Journal Article,no,UGA Library,,,,Italian,,Not a primary research,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Colas and Deiller 1987,Echinococcosis due to Echinococcus multilocularis in France: life cycle,1987,Epidemiologie et Sante Animale,12,,107–23,107,123,17,none,,Journal Article,no,UGA Library,,,,French,,Not a primary research,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,AM,no,no,no,Hobner and Uhlikova 1997,[Alveolar Hydatidosis (Alveococcosis) In The Czech Republic And Its Immunodiagnosis].,1997,"Epidemiologie, mikrobiologie, imunologie: casopis Spolecnosti pro epidemiologii a mikrobiologii Ceske lekarske spolecnosti J.E. Purkyne",46,4,163-5,163,165,3,none,9471308,article,no,UGA Library,,"The frequent contemporary infections with the tapeworm Echinococcus multilocularis in foxes in some districts of the Czech Republic make it necessary to consider the probability of infection of man by the larval stage of this tapeworm in this country. So far there was in the Czech Republic a single case of alveolar hydatidosis (in 1977) in man with a lethal outcome. Foxes Vulpes vulpes increased in the Czech Republic considerably in numbers in recent years, and their infestations with E. multilocularis, in particular in the South Bohemian and North Bohemian regions is alarming. However so far it is not known whether the findings in foxes have a rising trend as compared with previous years as nobody was concerned with this particular problem in the past. The authors discuss also the epidemiology of alveococcosis and describe briefly its symptomatology.",Yes,Czech,,not original data,,,,,NA,review,Snowballing
yes,no,1,yes,ARW; KA,yes,AM,yes,yes,yes,Pavlasek et al. 1997,"[Occurrence of Echinococcus multilocularis Leuckart, 1863, in foxes (Vulpes vulpes) in the Czech Republic.]",1997,"Epidemiologie, mikrobiologie, imunologie: casopis Spolecnosti pro epidemiologii a mikrobiologii Ceske lekarske spolecnosti J.E. Purkyne",46,4,158-162,158,162,5,none,9471307,article,no,UGA Library,,"During the period between December 1994 and December 1996 the authors examined, using the method of helminthological dissection of the intestinal tract in 15 districts of four regions in the Czech Republic a total of 824 foxes from 350 land registers. Echinococcus multilocularis was found in the following regions: South Bohemian (districts Jindrich√Ö¬Øv Hradec, Cesk√É¬Ω Krumlov, Prachatice and Strakonice), Central Bohemian (Benesov district) and North Bohemian (district Teplice and Chomutov). There were 87 positive (10.6%) foxes √¢‚Ç¨¬¶",Yes,Czech,,,,"EID_273, EID_274, EID_272",EID_275,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Takumi et al. 2012,"Mapping The Increasing Risk Of Human Alveolar Echinococcosis In Limburg, The Netherlands.",2012,Epidemiology and infection,140,5,867-71,867,871,5,10.1017/S0950268811001221,21733269,article,yes,publisher website,0,"The parasite Echinococcus multilocularis was first detected in The Netherlands in 1996 and repeated studies have shown that the parasite subsequently spread in the local population of foxes in the province of Limburg. It was not possible to quantify the human risk of alveolar echinococcosis because no relationship between the amount of parasite eggs in the environment and the probability of infection in humans was known. Here, we used the spread of the parasite in The Netherlands as a predictor, together with recently published historical records of the epidemiology of alveolar echinococcosis in Switzerland, to achieve a relative quantification of the risk. Based on these analyses, the human risk in Limburg was simulated and up to three human cases are predicted by 2018. We conclude that the epidemiology of alveolar echinococcosis in The Netherlands might have changed from a period of negligible risk in the past to a period of increasing risk in the forthcoming years.",not-needed,English,no E. multi detection,,,,,,NA,human transmission; mathematical model,Snowballing
yes,no,1,yes,ARW; KA,yes,AM,yes,yes,no,Tackmann et al. 1998,"Spatial distribution patterns of Echinococcus multilocularis (Leuckart 1863) (Cestoda: Cyclophyllidea: Taeniidae) among red foxes in an endemic focus in Brandenburg, Germany.",1998,Epidemiology and infection,120,1,101-109,101,109,9,10.1017/s0950268897008406,9528824,article,yes,publisher website,0,"Over a period of 40 months, 4374 foxes were randomly sampled from an area located in northwestern Brandenburg, Germany, and examined parasitologically for infections with Echinococcus multilocularis. Spatial analysis of the origin of infected animals identified two (one central and one southeastern) high-endemic foci with an estimated prevalence of 23.8%. By contrast, a prevalence of 4.9% was found in the remaining (low-endemic) area. The prevalences among juvenile and adult foxes were compared in the high-endemic and the low-endemic areas. To analyse the central high-endemic focus further, the random sample was stratified by zones representing concentric circles with a radius of 13 km (zone 1) or x(n-1) + 7 km for the remaining three zones from the apparent centre of this focus (anchor point). Prevalences calculated for each zone showed a decrease from zone 1 (18.8%) to zone 4 (2.4%) with significant differences for all zones but zones 3 and 4. The relative risk of an infection decreased rapidly in a distance range of 26 km around the high-endemic focus, whereas the relative risk remained unchanged within a distance of 5 km around the anchor point. The importance of heterogeneous spatial distribution patterns for the diagnosis and epidemiology of the infection is discussed.",Yes,English,,,location size,EID_259,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Tackmann et al. 2001,A field study to control Echinococcus multilocularis-infections of the red fox (Vulpes vulpes) in an endemic focus,2001,Epidemiology and infection,127,3,577-587,577,587,11,10.1017/s0950268801006112,11811893,article,yes,publisher website,0,"Foxes harbouring E. multilocularis represent an important source for human infection with this parasite which causes alveolar echinococcosis. To minimize the risk of human infection, a control study was conducted to reduce the prevalence of E. multilocularis-infection in foxes in an focal endemic area of 5000 km2. Foxes were given access to baits containing 50 mg praziquantel. Twenty baits per km2 were distributed by airplane during 14 campaigns. The effects of control measures were monitored by parasitological examination of 9387 foxes shot before and during the control trial. A distinct reduction of the prevalence of E. multilocularis was observed for both, the initially endemic area and the low-endemic periphery. The effect was more pronounced in adult than in juvenile foxes. Under control conditions, the risk area decreased in size. However, an eradication of the parasite was not reached with the chosen strategy.",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,,TBD,Daniel,yes,Yes,,Enemark et al. 2013,"Detection of a high-endemic focus of Echinococcus multilocularis in red foxes in southern Denmark, January 2013",2013,Euro surveillance: bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,18,10,20420,1,4,4,10.2807/ese.18.10.20420-en,23515060,article,yes,publisher website,0,"The Danish surveillance programme for Echinococcus multilocularis was initiated in September 2011, and so far 679 wild carnivores have been examined. In April 2012, one infected fox was detected in HÃ¸jer near the Danish-German border, and in January 2013 three additional foxes from the same area were found infected. Local prevalence in the area was 31% (four of 13 foxes) which is a new epidemiological situation calling for reevaluation of the national risk management.",Yes,English,,Duplicated,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Wahlstrom et al. 2012,Investigations and actions taken during 2011 due to the first finding of Echinococcus multilocularis in Sweden,2012,Euro surveillance: bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,17,28,8-Jan,1,8,8,10.2807/ese.17.28.20215-en,22835440,article,yes,publisher website,0,"Echinococcus multilocularis is a parasite that can cause alveolar echinococcosis disease. After the first positive finding of E. multilocularis in Sweden in 2011, a consulting group with representatives from relevant authorities was summoned. In this group, all relevant information was shared, strategies for information dissemination and any actions to be taken due to the finding of E. multilocularis were discussed and decided. The present paper describes the actions taken during 2011 and the results thereof, including surveillance in animals, risk assessment for humans to become infected and recommendations given to the public. Further discussion about whether the parasite was introduced, and if so, how, as well as possible future development of the infection in animals and humans in Sweden and future actions are included.",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,Daniel,TBD,,yes,Yes,,Antolova et al. 2014,Alveolar echinococcosis in a highly endemic area of Northern Slovakia between 2000 and 2013,2014,Euro surveillance: bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,19,34,8-Jan,1,8,8,10.2807/1560-7917.ES2014.19.34.20882,25188612,article,yes,publisher website,0,"Long-term surveillance of Echinococcus multilocularis occurrence in red foxes in Slovakia revealed the existence of highly endemic areas, with an overall prevalence rate of 41.6 % in the northern part of the country. Between 2000 and 2013, 26 human cases of alveolar echinococcosis were detected and only three of them were not in endemic localities in northern Slovakia. Remarkable is the occurrence of the disease in eight people younger than 35 years, including three patients aged eight, 14 and 19 years. Occurrence of E. multilocularis in red foxes throughout the country and high incidence of alveolar echinococcosis in young people indicate high infectious pressure in the environment of northern Slovakia. It can be assumed that the real incidence of alveolar echinococcosis is significantly higher than recorded by official data due to the lack of existing registration and reporting system. For effective management of prevention and control strategies for this disease improvement of the national surveillance system and engagement of specialists outside the medical community are necessary. Our study presents a comprehensive picture of the epidemiological situation of E. multilocularis in northern Slovakia. In addition, we report the first list of confirmed human cases of this serious parasitosis in Slovakia.",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Sydler et al. 1998 ,Echinococcus multilocularis lesions in the livers of pigs kept outdoors in Switzerland,1998,European journal of veterinary pathology: official journal of the European Society of Veterinary Pathology,4,,43-46,43,46,4,none,,article,no,UGA Library ,ILL,"Liver lesions due to Echinoccoccus multilocularis in form of sharply demarcated dense white spots of 0.5 to 1.5 cm in diameter were found with a prevalence of about 10% in 90 slaughter pigs kept outdoors in the northeastern part of Switzerland. Histology revealed living and disrupted metacestodes with the liver lesions, although no protoscolices were found. With an increase in alternative husbandry of pigs in regions endemic for E. multilocularis, such lesions may appear more often at meat inspection. ",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Rataj et al. 2010,Echinococcus multilocularis in the red fox (Vulpes vulpes) in Slovenia,2010,European journal of wildlife research,56,5,819-822,819,822,4,10.1007/s10344-010-0417-6,,article,no,Author Link,0,"Using the parasitological washing out method, we examined the intestines of 428 red foxes (Vulpes vulpes) for the presence of Echinococcus multilocularis (Leuckart 1863) and found that the overall prevalence was 2.6% (confidence interval 95% 1.3â€“4.5%). This is the first extended research reporting on the presence of E. multilocularis in the Slovenian fox population.",Yes,English,,Duplicated,,,,,NA,,SystematicSearch
no,yes,1,yes,not-needed,yes,RR,yes,yes,yes,Konig et al. 2005,"Drastic increase in the prevalence of Echinococcus multilocularis in foxes (Vulpes vulpes) in southern Bavaria, Germany",2005,European journal of wildlife research,51,4,277-282,277,282,6,10.1007/s10344-005-0100-5,none,article,no,Author Link,0,"A survey on the prevalence of Echinococcus multilocularis in foxes was conducted in the administrative district of Starnberg (federal state of Bavaria, Germany) and some adjacent municipalities from October 2002 to March 2003. The background to the study was the scarcity of recent data for Bavaria, where, in contrast to neighbouring regions, a general increase in the prevalence of the parasite has not yet been demonstrated. To estimate the current infection rate, a total of 268 shot foxes were examined using the intestinal scraping technique, resulting in an overall prevalence of 51%. This was compared with retrospective data collected during the period from 1989 to 2001. For the corresponding area and season, the retrospective prevalence was estimated at 32%, based on 222 shot foxes. The prevalence and its temporal development differ considerably on small spatial scales. The most conspicuous change has taken place in the western part of the study area, where a previous prevalence of 35% has increased to 80% in 2002/2003.",Yes,English,,,,GMPD_143,"GMPD_140, GMPD_141, GMPD_133, GMPD_132, GMPD_134, GMPD_137, GMPD_138, GMPD_139, GMPD_142, GMPD_147, GMPD_148, GMPD_149, GMPD_150","GMPD_135, GMPD_136",NA,this is listed as both Konig et al. 2005 and Konig et al. 2006 in GMPD2,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Konig et al. 2008,"Integrated-baiting concept against Echinococcus multilocularis in foxes is successful in southern Bavaria, Germany",2008,European journal of wildlife research,54,3,439-447,439,447,9,10.1007/s10344-007-0168-1,,article,no,Author Link,0,"This paper describes the design and the preliminary evaluation of an integrated approach to the control of Echinococcus multilocularis in foxes using praziquantel bait. Air distribution of bait in agricultural and recreational areas was combined with distribution of bait by hand in towns and villages to cover the entire fox population in the 213-km2 baiting area. Bait distribution density was 50/km2, and bait was distributed once every 4 weeks. Pre-baiting prevalence was 35% (22â€“50% CI 95%). During a 1-year period following the first 4 months of bait distribution, only one positive fox was found (prevalence 1%; 0â€“4% CI 95%). No significant change had occurred in the unbaited control area. This prevalence decline is far more pronounced than in previous fox-baiting studies, which is likely to be due to the increased bait distribution density and baiting frequency, and the inclusion of the â€˜urbanâ€™ fox population.",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Janko et al. 2011,Infection pressure of human alveolar echinococcosis due to village and small town foxes (Vuples vulpes) living in close proximity to residents,2011,European journal of wildlife research,57,5,1033-1042,1033,1042,10,10.1007/s10344-011-0515-0,,article,no,Author Link,0,"This study investigated the epidemiological and ecological factors to assess the infection pressure of alveolar echinococcosis to human which are living in villages and small towns. Foxes and fox faeces were examined for Echinococcus multilocularis and foxes were observed by radio telemetry in Upper Bavaria, Germany. Forty-three percent of the village foxes (n = 65) had been infected with E. multilocularis. This prevalence rate did not differ significantly from the prevalence among rural foxes, which was 39% (n = 33; Ï‡ 2 = 0.12, df = 1, p = 0.727) determined by the intestinal scraping technique. PCR analyses of fox faeces showed a higher infection rate of 35% (n = 26) among rural foxes than among foxes in villages and small towns (26%, n = 69; Ï‡ 2 = 0.68, df = 1, p = 0.411). One quarter of the fox faecal samples come from private gardens of residents. The radio-tracking study on 17 foxes showed that foxes preferred the built-up area and grassland outside the villages. Village foxes concentrated their activity within a range of 500 m around the settlement. Sixty-four percent of all bearings for radio-tracked foxes showed positions in areas outside the town, and 36% of bearings were within the settlement. Village foxes, which are infected with E. multilocularis, are able to carry the parasite continuously into settlements and fox faeces present an immediate source of infection to humans, especially within their gardens. Therefore, foxes are responsible for environmental E. multilocularis egg contamination in the vicinity of humans, leading to an infection risk to inhabitants of villages and small towns.",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Umhang et al. 2011,Segmental sedimentation and counting technique (SSCT): an adaptable method for qualitative diagnosis of Echinococcus multilocularis in fox intestines,2011,Experimental parasitology,128,1,57-60,57,60,4,10.1016/j.exppara.2011.01.004,21256846,article,no,UGA Library,,"A modified Segmental Sedimentation and Counting Technique (SSCT) to examine the presence of Echinococcus multilocularis helminths in segments of fox (Vulpes vulpes) intestine is described and compared to the \gold standard\"" with specificity close to 100%. Based on our results and the time saved",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Matsumoto and Yagi 2008,"Experimental Studies On Echinococcus Multilocularis In Japan, Focusing On Biohazardous Stages Of The Parasite.",2008,Experimental parasitology,119,4,534-41,534,541,8,10.1016/j.exppara.2008.02.008,18396283,review,no,UGA Library,,"Alveolar echinococcosis (AE), caused by the active growth of larval Echinococcus multilocularis mostly in the liver, is usually fatal zoonotic disease if not adequately treated. Humans become infected via oral ingestion of the parasite eggs, which are thus biohazardous to humans and should be handled under restricted conditions. In this review, we present findings in experimental studies mainly performed at a safety facility in Japan, examining the biohazadous stages of the parasite (Hokkaido isolate) including its egg and adult worm stages. This article deals mainly with the parasite development in various experimental and wild animals, environmental factors affecting viability of the parasite eggs, and molecular biological studies on adult worms. The findings shown herein have provided a basis to better understand basic biology and natural transmission of E. multilocularis in Hokkaido, a highly endemic area of AE in northern Japan, and also to establish effective preventive measures against the disease.",not-needed,English,not original data,,,,,,NA,review,Snowballing
no,no,0,yes,NA,TBD,,yes,No,,Martinek et al. 1998,Echinococcus multilocularis (Cestoda: Taeniidae) in the Czech Republic: the first detection of metacestodes in a naturally infected rodent,1998,Folia parasitologica,45,4,332-333,332,333,2,none,9868796,article,yes,publisher website,0,"Larval stage (metacestode) of Echinococcus multilocularis (Leuckart, 1863) is the etiologic agent of alveolar echinococcosis in humans. It is known that an infection risk for humans exists in countries or regions with autochthonous occurrence of E. multilocularis in the fox population. Recent studies have shown the presence of E. multilocularis adults in many areas of the Czech Republic (ÄŒada F., Huml O. 1996: VeterinÃ¡Å™stvÃ­ 4: 160-162; KolÃ¡Å™ovÃ¡ L., PavlÃ¡sek I., ChalupskÃ½ J. 1996: Helminthologia 33: 59-65; PavlÃ¡sek I., ChalupskÃ½ J â€¦",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Petavy et al. 2003,Co-occurrence of metacestodes of Echinococcus multilocularis and Taenia taeniaeformis (Cestoda) in Arvicola terrestris (Rodentia) in France,2003,Folia parasitologica,50,2,157-158,157,158,2,10.14411/fp.2003.028,14560979,article,yes,publisher website,0,"In western Europe, the natural life cycle of Echinococcus multilocularis (Leuckart, 1863) involves mostly foxes, dogs and cats as definitive hosts and voles (Arvicolidae) as intermediate hosts. Studies on this topic are often restricted to data on prevalence of this tapeworm. However, until now, an association of E. multilocularis with larvae of another cestode species has only been reported from Rattus norvegicus in Japan (Okamoto M., Fujita O., Arikawa J., Kurosawa T., Oku Y., Kamiya M. 1992: Int. J. Parasitol. 22: 681â€“684) â€¦",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,"Blankenburg A,Sauermann U,Kaup FJ",Spontaneous Echinococcosis in a colony of lion-tailed macaques (Macaca silenus,2001,Folia Primatologica,72,3,,NA,NA,1,none,none,Journal Article,no,UGA Library,,,,Italian,,Case report,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Letkova V,Helminthozoonoses the current situation in Slovakia,2006,Folia Veterinaria,50,4,201–4,201,204,4,none,,Journal Article,no,UGA Library,,,,English,,Not a primary research,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Remde 2008,Untersuchungen zum Vorkommen der Zoonoseerreger Echinococcus multilocularis und Trichinella spp. beim Schwarzwild (Sus scrofa scrofa) im Wartburgkreis,2008,Freie Universitat Berlin,n/a,n/a,,NA,NA,1,none,,thesis,no,Author Link,0,"Im Zeitraum vom 01.04. 2004 bis zum 07.12. 2004 wurden insgesamt 124 StÃ¼ck Schwarzwild untersucht. Das GeschlechterverhÃ¤ltnis war ziemlich ausgeglichen (53, 50% weibliche, 46, 50% mÃ¤nnli-che Tiere). In der Altersstruktur dominierten die Frischlinge und ÃœberlÃ¤ufer. Die Tiere waren 0, 3 bis 6 Jahre alt. Das rechnerisch ermittelte Durchschnittsalter betrug 1, 24 Jahre. Von jedem Probanden wurden alle folgenden Daten wie Datum der Probennahme, Altersklas-se, Geschlecht, Herkunft, KÃ¶rpermasse und Alter â€¦",Yes,German,,,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Costes et al. 2005,"[A Probable Case Of Alveolar Echinococcosis In Normandy, France].",2005,Gastroenterologie clinique et biologique,29,12,1289-90,1289,1290,2,10.1016/s0399-8320(05)82224-9,16518290,article,no,UGA Library,,"Echinococcus multilocularis induced liver infection was diagnosed in a Moroccan patient. Diagnosis was based on CT scan results and Western Blot test. Contamination probably occurred in France, in the Cherbourg area where the patient travelled frequently and ate wild berries. This case and other recently reported cases outside the usual endemic areas (Besan√ï_on and the Massif Central) suggest that the Echinococcus multilocularis epidemic has moved towards the west of France. French gastroenterologists should be aware of this parasitic disease.",not-needed,French,human,,,,,,NA,,Snowballing
no,no,0,yes,Joy,TBD,,yes,No,,Miterpakova and Dubinsky 2011,Fox tapeworm (Echinococcus multilocularis) in Slovakia â€” summarizing the long-term monitoring,2011,Helminthologia,48,3,155,155,161,7,10.2478/s11687-011-0023-5,,article,yes,publisher website,0,"Detailed epidemiological survey on distribution of fox tapeworm Echinococcus multilocularis was carried out in the territory of Slovakia between 2000 and 2010. A total of 4 761 red foxes from all districts of Slovakia were investigated using modified sedimentation and counting method. E. multilocularis was found in small intestines of 1 441 animals that represent an overall prevalence of 30.3 %. The number of tapeworms found in individual foxes varied between 1 and 245 000 specimens with mean worm burden of 1 777. The results of decennial epizootological research confirmed the existence of highly endemic localities with E. multilocularis occurrence in northern regions of Slovakia. Till today, 16 human cases of alveolar echinococcosis were registered whereas 14 of them were diagnosed in patients living in endemic localities.",Yes,English,,,,,,,NA,,SystematicSearch
no,no,0,yes,Joy,TBD,,yes,No,,Miterpakova et al. 2001,Present state of the occurrence of Echinococcus multilocularis in red foxes in Slovakia,2001,Helminthologia,38,3,182,182,182,1,none,,article,no,UGA Library,,,Yes,English,,,,,,,NA,,SystematicSearch
