CAB_Abstracts,Wildlife_&_Ecology_Studies_Worldwide,Web_Of_Science,BIOSIS,Zoological_Record,databases_agreement,abstract_review,full_text_review,relevant,source_id,title,journal_or_book,volume,issue,pages,pages_start,pages_end,pages_count,pages_total,abstract,publisher,doi,url,supplementary_url,issn_isbn,language,open_access,identification_method,access_method,time_to_access_days,publication_type,publication_form,publication_year,pdf_access,bl_upload,author_email_contact,creator1_name,creator1_affiliation,creator2_name,creator2_affiliation,creator3_name,creator3_affiliation,creator4_name,creator4_affiliation,creator5_name,creator5_affiliation,creator6_name,creator6_affiliation,creator7_name,creator7_affiliation,creator8_name,creator8_affiliation,creator9_name,creator9_affiliation,creator10_name,creator10_affiliation,notes,
CAB Abstracts,no,Web Of Science,BIOSIS,Zoological Record,4,non-target species,not reviewed,no,Collere et al. 2021,"‘Candidatus Mycoplasma haematonasua’and tick‐borne pathogens in ring‐tailed coatis (Nasua nasua Linnaeus, 1976) from the Iguaçu National Park, Paraná State, southern Brazil. Transboundary and Emerging Diseases",Transboundary and Emerging Diseases,68,6,3222-3229,3222,3229,8,8,"The Iguaçu National Park (INP) is the largest remnant of Atlantic Forest in southern Brazil, representing an ecological continuum with Argentina. The INP harbours a diverse fauna, with ring-tailed coatis (Nasua nasua Linnaeus, 1976, Carnivora: Procyonidae) in close contact with tourists either begging and/or snatching food from visitors. A potentially novel haemotropic Mycoplasma sp. has been previously detected in the ring-tailed coatis from central-western and southern Brazil. Therefore, the aims of this study were to investigate the occurrence of haemotropic Mycoplasma sp. and tick-borne pathogens in wild ring-tailed coatis from the INP, Foz do Iguaçu municipality, Paraná State, southern Brazil. Blood samples were collected from 18 wild ring-tailed coatis and evaluated by conventional PCR (cPCR) assays for haemotropic Mycoplasma spp. (16S and 23S rRNA), Theileria/Babesia spp. (18S rRNA) and Ehrlichia/Anaplasma spp. (16S rRNA, sodB, dsb and groEL). Eight out of 18 (44.44%; 95% CI: 24.56%-66.28%) animals were positive for haemotropic Mycoplasma spp. All ring-tailed coatis tested negative for Theileria/Babesia spp. and only one out of 18 (5.56%; 95% CI: 0.99%-25.76%) animals tested positive for Ehrlichia/Anaplasma spp. by the 16S rRNA cPCR. Unfortunately, multiple attempts to sequence the 16S rRNA gene of the Ehrlichia/Anaplasma-positive sample have failed. Phylogenetic and network analysis of the hemoplasma 16S and 23S rRNA gene fragments confirmed that animals were infected by a potentially novel haemotropic Mycoplasma sp. previously reported in ring-tailed coatis from Brazil. The name 'Candidatus Mycoplasma haematonasua' is proposed for this novel organism.",WILEY-HINDAWI,,,,,english,no,systematic search,UGA Library,0,,,2021,,,,Collere FC,,Delai RM,,Ferrari LD,,Silva LH,,Foga√ßa PL,,Rodrigues AN,,Gon√ßalves DD,,Baggio RA,,Moraes MF,,Lux Hoppe EG,,,
no,no,no,no,Zoological Record,1,included,included,yes,Conkling et al. 2012,Black‐capped vireo nest predator assemblage and predictors for nest predation.,The Journal of Wildlife Management,76,7,1401-1411,1401,1411,11,11,"Nest predation is a major limiting factor for songbird productivity, including the federally endangered black-capped vireo (Vireo atricapilla). However, nest predator information is limited across the range of the black-capped vireo in central and southwest Texas. We monitored nests in 3 counties within the breeding range of black-capped vireos in Texas in 2008 and 2009 and used continuous recording digital video cameras to record predation events. We video-monitored 115 nests and documented 39 predation events by at least 9 predator species. Overall, we observed avian species (51%, n = 39), specifically brown-headed cowbirds (Molothrus ater; n = 12), and snakes (26%, n = 39) as the most frequent nest predators. The estimated daily nest survival rate during the laying and incubation stage was 0.985 (95% CI = 0.967–0.993) and 0.944 (95% CI = 0.921–0.961) during the nestling stage. In addition, we analyzed models of predator-specific nest predation using multinomial logistic regression. Effect of nest height on predation rate was significant for snakes; nest stage was significant for nests depredated by avian predators. By identifying and increasing our knowledge of nest predators and vegetation characteristics associated with greater risk of predation in multiple locations within the black-capped vireo's range, we can effectively manage habitat to benefit recovery efforts of the species.",WILEY,10.1002/jwmg.388,https://wildlife.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jwmg.388,none,0022-541X,english,yes,systematic search,UGA Library,0,society,journal article,2012,https://paperpile.com/app/p/b3c79c7f-2945-0088-be6b-95b819da49d2,not needed,,Conkling TJ,,Pope TL,,Smith KN,,Mathewson HA,,Morrison ML,,Wilkins RN,,Cain III JW,,none,none,none,none,none,none,GPS from one site with diet item detection from mulitsite study,
CAB Abstracts,no,no,no,no,1,non-target species,not reviewed,no,Cork 1996,Optimal digestive strategies for arboreal herbivorous mammals in contrasting forest types: why koalas and colobines are different,Australian Journal of Ecology,21,1,10-20,,,1,10,"The eucalypt forests of temperate eastern Australia contrast with many forests in tropical Australia, Asia, Africa and Central America in terms of degrees of sclerophylly, concentrations of nutrients in foliage, types and amounts of chemical challenges posed for herbivores, and the range of alternatives to foliage as food. Comparisons between digestive strategies employed by arboreal herbivorous marsupials and primates inhabiting these forests reveal several trends: (i) foregut-fermenters occur only in tropical and sub-tropical forests, whereas caecum and caecum-colon fermenters occur in both temperate eucalypt and the tropical forests; (ii) the arboreal marsupials and primates (koalas, greater gliders, ringtail possums and sportive lemurs) that are the most folivorous are caecum or caecum-colon fermenters with colonic specializations for selective retention of small panicles of digesta; (iii) no caecum or caecum- colon fermenters lacking colonic separation mechanisms achieve consistently high degrees of folivory; (iv) even the most folivorous foregut-fermenting arboreal marsupials (tree kangaroos) or primates (colobus monkeys) include a substantial proportion of high-quality components (fruits or seeds) in their diet. Caecum or caecum-colon fermentation with colonic separation is postulated to be essential for a high degree of folivory in small mammals because it offsets potential limits on intake of high-fibre food and minimizes losses of faecal nitrogen that otherwise would be prohibitive. This digestive strategy is common among folivores in eucalypt forests because the low abundance of large seeds and fleshy fruits limits folivory-frugivory and folivory-granivory. Foregut fermentation employing a sacciform/ tubiform forestomach (as in tree kangaroos and colobus monkeys) is postulated to be optimal for mixed leaf/fruit and leaf/seed diets that are available in many tropical forests, assuming it allows high-fibre meals to be retained for microbial fermentation while permitting low-fibre meals to pass rapidly to the hindstomach for acid/enzymic digestion. However, foregut fermentation appears innappropriate for either primary frugivory or exclusive folivory due to the inefficiency of microbial digestion of simple sugars and constraints on microbial fermentation as a primary energy source for small mammals.",Blackwell Science Pty,10.1111/j.1442-9993.1996.tb00581.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1442-9993.1996.tb00581.x,,,english,no,systematic search,UGA Library,0,,journal article,1996,,,,Cork SJ,,none,none,none,none,none,none,none,none,none,,,,,,,,,,,
no,no,no,BIOSIS,Zoological Record,2,non-target species,not reviewed,no,Couper et al. 1996,"Feeding habits of the ring-tailed gecko, Cyrtodactylus louisiadensis",Memoirs of the Queensland Museum,39,288,,,,1,,not accessible,Queensland Museum,none,,,,english,no,systematic search,UGA Library,ILL,,journal article,1996,,,,Couper PJ,,Covacevich JA,,Monteith GB,,Jago K,,Janetzki H,,Roberts L,,none,none,none,none,,,,,,
no,no,Web Of Science,no,no,1,non-target species in Citations,not reviewed,no,Dai et al. 2014,Seasonal changes in the concentrations of plant secondary metabolites and their effects on food selection by Microtus oeconomus,Mammalian Biology,79,3,215-220,215,220,6,6,"Using cafeteria trials conducted during June–September 2008 in Qinghai Province, China, we investigated the selection of 20 plant species by root voles (Microtus oeconomus). It was found that both favored and edible plant groups of root voles comprised 6 species, while the remaining 8 species were anorectic plants. Three plant secondary metabolites (PSMs): flavonoids, condensed tannins, and total phenols, exhibited seasonal changes in concentration; being lowest at June and gradually increasing from July to August/September. Total phenols was the only factor included in the best model of generalized linear models, indicating that total phenols was the most important factor deterring food selection by root voles. In contrast, tannins had a weak effect on food selection by root voles. This study indicated that PSMs play an important role in food selection by root voles; however, the effects of PSMs depend on the type of PSMs. Furthermore, this finding partly verifies the hypothesis that PSMs contribute to the defense strategy of plants, significantly influencing plant selection by root voles.",SPRINGER HEIDELBERG,,,,,english,no,systematic search,UGA Library,0,,journal article,2014,,,,Dai X,,Han M,,Liu Q,,Shang G,,Yin B,,Wang A,,Dean BE,,Wei W,,Yang S,,,,,
no,no,no,no,no,0,no abstract,included,yes,Davis 1960,The mammals of Texas.,Texas Game and Fish Commission Bulletin,n/a,41,1-252,1,252,252,252,none,"Information-Education Division, Texas Parks and Wildlife Deptartment",none,https://babel.hathitrust.org/cgi/pt?id=uiug.30112010106885&view=1up,none,none,english,yes,expert curated,HathiTrust Digital Library,0,Management Report,book,1960,https://paperpile.com/app/p/60277a4c-e9d9-0b9d-a19d-168150db1847,not needed,not provided,Davis WB,,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,original data from Taylor?,
CAB Abstracts,no,no,no,no,1,pathological condition,not reviewed,no,Dikshit and Sriramachari 1958,Caudal necrosis in suckling rats,Nature,181,4601,63-64,63,64,2,2,"THE communication by Njaa et al.1 concerning the presence of ‘ringtail’ in newborn rats has prompted us to report similar observations in the colony maintained at these Laboratories. During the winter of 1954–55 signs of ‘ringtail’ were noticed in many suckling rats. Generally, these symptoms were seen in 8-day-old young rats, the first signs being a marked scaliness of the tail and reddening of the tail tip (Fig. 1). In many cases the condition of the tail deteriorated, resulting in necrosis followed by its severance from the body. Microscopic examination of sections of the tails revealed in the early stages a marked hyperkeratosis and parakeratosis (Fig. 2). There was œdema (spongiosis) and hyperplasia of the prickle cell layer, resulting in acanthosis. In some of the specimens, the prickle cells at all levels contained large amounts of keratohyaline granules. The hair follicles were slightly dilated and were filled with keratinized invaginations of the cornified layers of the epidermis. The corium was œdematous and often congested with blood. In the more advanced lesions, there was extensive eosinophilic necrosis of both the epidermis and the corium, accompanied by leucocytic infiltration. In general, these histological characters closely resemble those observed in the ring tails of rats born to mothers deprived of essential fatty acids2.",NATURE PORTFOLIO,,,,,english,no,systematic search,UGA Library,ILL,,journal article,1958,,,,Dikshit PK,,Sriramachari S,,,,,,,,,,,,,,,,,,,
no,no,no,BIOSIS,Zoological Record,2,non-target species,not reviewed,no,Doody 2014,Ctenophorus caudicinctus (Ring-tailed Dragon). Predation.,Herpetological Review,45,3,494-495,494,495,2,2,not accessible,SOC STUDY AMPHIBIANS & REPTILES,none,,,,english,no,systematic search,UGA Library,ILL,,journal article,2014,,,,Doody JS,,,,,,,,,,,,,,,,,,,,,
no,no,no,no,Zoological Record,1,non-target species,not reviewed,no,Doody et al. 2015,"Ctenophorus reticulatus (Western Netted Dragon), Ctenophorus caudicinctus (Ring-tailed Dragon), and Egernia eos (Central Pygmy Spiny-tailed Skink. Predation.",Herpetological Review,46,3,433,433,433,1,1,not accessible,SOC STUDY AMPHIBIANS & REPTILES,none,,,,english,no,systematic search,Author Link,0,,journal article,2015,,,,Doody SJ,,Cherriman S,,Turpin J,,,,,,,,,,,,,,,,,
no,no,no,BIOSIS,Zoological Record,2,pathological condition,not reviewed,no,Ellison and Aarde 1990,Ringtail in the pouched mouse (Saccostomus campestris),Laboratory Animals,24,3,205-206,205,206,2,2,"Laboratory colonies of the pouched mouse(Saccostomus campestris) were housed insolid bottom cages and fed a varied diet containing excess fatty acids. Ringtail was onlyinitiated in animals of all ages, from populationsoriginating from different areas of South Africa,when the relative humidity fell below 30070.The incidence of ringtail was curtailed bymaintaining relative humidity above 45% inanimal houses.",SAGE PUBLICATIONS INC,10.1258/002367790780866209,https://journals.sagepub.com/doi/abs/10.1258/002367790780866209,,,english,yes,systematic search,Publisher Link,0,,journal article,1990,,,,Ellison GT,,Aarde LW,,,,,,,,,,,,,,,,,,,
no,no,no,no,Zoological Record,1,included,not diet study,no,Engelman and Croft 2019,Strangers in a strange land: Ecological dissimilarity to metatherian carnivores may partly explain early colonization of South America by Cyonasua-group procyonids,Paleobiology,45,4,598-611,598,611,14,14,"It was once thought that the endemic carnivorous mammals of South America, the metatherian sparassodonts, were driven extinct by North American carnivorans through competitive exclusion. However, sparassodonts went extinct before most groups of carnivorans entered South America; only the endemic Cyonasua-group procyonids (Cyonasua and Chapalmalania), which immigrated to South America nearly 4 million years earlier than other carnivorans, significantly overlapped with sparassodonts in time. In this study, we examine the functional morphology of the dentition of Cyonasua and Chapalmalania through quantitative analysis to determine the dietary habits of these taxa and the degree to which they may have ecologically overlapped sparassodonts and large predatory Neogene didelphimorphians. We find Cyonasua and Chapalmalania to be more carnivorous than extant procyonids, other than Bassariscus, in agreement with previous studies, but more omnivorous than most other carnivorans and all meat-eating South American metatherians, including sparassodonts. The extreme ecological dissimilarity between Cyonasua-group procyonids and members of the endemic South American predator guild may explain why procyonids were able to successfully establish themselves in South America several million years earlier than most other northern mammals (including all other carnivorans): they moved into a previously unoccupied ecological niche (large omnivore) and avoided direct competition with incumbent native species, a situation similar to that documented in historical cases of biological invasion. The omnivorous diets and climbing/swimming abilities of procyonids may have increased their chances for a successful over-water dispersal relative to other carnivorans, further favoring their successful establishment in South America.",CAMBRIDGE UNIV PRESS,10.1017/pab.2019.29,,,,english,yes,systematic search,Publisher Website,0,,journal article,2019,,,,Engelman RK,,Croft DA,,,,,,,,,,,,,,,,,,,
no,no,Web Of Science,no,no,1,non-target species in Citations,not reviewed,no,Estell et al. 2000,Effect of individual terpenes on consumption of alfalfa pellets by sheep,Journal of Animal Science,78,6,1636-40,1636,1640,5,5,"We examined effects of individual terpenes on alfalfa pellet intake of lambs in five experiments. Forty-five lambs (nine lambs/treatment) were individually fed alfalfa pellets sprayed with either p-cymene, α-humulene, 1,8-cineole, 3-carene, or sabinene at one of five concentrations (one terpene per experiment). Treatments (0, .5, 1, 2, and 10×) were multiples of the concentration (×) of a specific terpene in tarbush that was related to differential herbivory by livestock in previous studies. Terpenes were applied to alfalfa pellets (.64 kg · lamb−1·d−1, DM basis), and consumption was measured during a 20-min interval for 5 d. Lambs were adapted to handling and pen feeding for 10 d and were maintained and fed alfalfa pellets in one group (except during 20-min tests) at a mean total daily intake of 4.7% of BW (DM basis). None of the five compounds decreased alfalfa pellet consumption during the 20-min interval. These five mono- and sesquiterpenes do not seem to be responsible for differential herbivory of individual tarbush plants by livestock.",OXFORD UNIV PRESS INC,10.2527/2000.7861636x,https://academic.oup.com/jas/article-abstract/78/6/1636/4668525,,,english,no,systematic search,UGA Library,0,,journal article,2000,,,,Estell RE,,Fredrickson EL,,Anderson DM,,Havstad KM,,Remmenga MD,,,,,,,,,,,,,
no,no,Web Of Science,no,no,1,non-target species,not reviewed,no,Estevam et al. 2020,Seven years of evaluation of ectoparasites and vector-borne pathogens among ring-tailed coatis in an urban park in southeastern Brazil,Veterinary Parasitology: Regional Studies and Reports,21,100442,1-12,1,12,12,12,"Wild animals have been recognized as potential reservoirs of vector-borne pathogens. Proximity between theseanimals and urban areas increases the need to know which pathogens these are and whether they can infectdomestic animals and humans. In Mangabeiras Municipal Park in Belo Horizonte, Brazil, coatis live near theurban area, which is mainly occupied by human residents and their domestic animals. Therefore, the objective ofthis study was to detect, through molecular and direct methods, the presence of ectoparasites and hemoparasitesin coatis. A total of 216 samples were collected, of which 209 samples were from first-captures and seven werefrom recaptures. The following parasites were found: ticks of the genus Amblyomma, lice of the speciesNeotrichodectes pallidus and fleas of the species Rhopalopsyllus lutzi lutzi and Ctenocephalides felis felis. All thesamples were negative for the family Anaplasmataceae and the species Leishmania sp. and Trypanosoma cruzi.The hemoparasites Trypanosoma evansi, Hepatozoon procyonis, Babesia sp. and Sarcocystis neurona were found.The area of the present study is not endemic for T. evansi, which therefore suggests that these coatis may beacting as reservoirs or sentinels of this parasite. This finding is of great epidemiological importance and shouldbe investigated more closely. Thus, this study showed that there is a great variety of pathogens in the park thattransit among coatis and, probably, among other animals that inhabit or live close to the park.",ELSEVIER,10.1016/j.vprsr.2020.100442,https://doi.org/10.1016/j.vprsr.2020.100442,,,english,no,systematic search,UGA Library,0,,journal article,2020,,,,Estevam LG,,Junior AF,,Silvestre BT,,Hemetrio NS,,Almeida LR,,Oliveira MM,,Silva SM,,Ribeiro MF,,Silveira JA,,,,,
no,no,no,no,Zoological Record,1,non-target species,not reviewed,no,Estrada Coates and Estrada 1985,"A preliminary study of resource overlap between howling monkeys (Alouatta palliata) and other arboreal mammals in the tropical rain forest of Los Tuxtlas, Mexico",American Journal of Primatology,9,1,27-37,27,37,11,11,"Potential resource overlap between howling monkeys and other arboreal mammals was studied in the rain forest of Los Tuxtlas, Veracruz, Mexico. Eight species of mammals belonging to the orders Primates, Carnivora, Rodentia, and Marsupialia were found to share the canopy and to overlap trophically with howling monkeys. These mammals made up 77% and Alouatta 23% of the arboreal mammalian biomass under consideration. The arboreal porcupine and spider monkey were the only mammals that also fed on leaves. However, in this feeding niche, Alouatta is the only important mammalian folivore in Los Tuxtlas, and resource depression derived from leaf-eating insects is more important. The eight arboreal mammals may exert more pressure upon fruit resources, for they consumed 75% of the estimated total dry weight of fruit/ha/yr consumed by arboreal mammals.",WILEY,10.1002/ajp.1350090104,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajp.1350090104,,,english,no,systematic search,UGA Library,0,,journal article,1985,,,,Estrada A,,Coates-Estrada R,,none,,,,,,,,,,,,,,,,,
no,no,no,BIOSIS,no,1,included,captive animal,no,Etscorn 1978,Suppression of feeding but not killing of a prey species in the ringtail cat (Bassariscus astutus,Physiological Pyschology,6,2,261-262,261,262,2,2,"Using a single-subject illness-induced aversion paradigm, a ringtail cat (Bassariscus astutus) was subjected to an induced illness from a lithium chloride (LiCl) injection after having attacked and eaten a mouse. Repeated mouse-LiCl pairings resulted in little change in attack latencies, but latencies to feed were greatly increased. A mouse-saline pairing, as well as a noncontingent induced illness, had no effect on latencies.",SPRINGER,10.3758/BF03326724,https://link.springer.com/article/10.3758/BF03326724,,,english,yes,systematic search,Publisher Website,0,,journal article,1978,,,,Etscorn F,,,,,,,,,,,,,,,,,,,,,
no,no,no,no,Zoological Record,1,non-target species,not reviewed,no,Farris et al. 2015,"Hunting, exotic carnivores, and habitat loss: anthropogenic effects on a native carnivore community, Madagascar",PloS One,10,9,e0136456,1,20,20,20,"The wide-ranging, cumulative, negative effects of anthropogenic disturbance, including habitat degradation, exotic species, and hunting, on native wildlife has been well documented across a range of habitats worldwide with carnivores potentially being the most vulnerable due to their more extinction prone characteristics. Investigating the effects of anthropogenic pressures on sympatric carnivores is needed to improve our ability to develop targeted, effective management plans for carnivore conservation worldwide. Utilizing photographic, line-transect, and habitat sampling, as well as landscape analyses and village-based bushmeat hunting surveys, we provide the first investigation of how multiple forms of habitat degradation (fragmentation, exotic carnivores, human encroachment, and hunting) affect carnivore occupancy across Madagascar’s largest protected area: the Masoala-Makira landscape. We found that as degradation increased, native carnivore occupancy and encounter rates decreased while exotic carnivore occupancy and encounter rates increased. Feral cats (Felis species) and domestic dogs (Canis familiaris) had higher occupancy than half of the native carnivore species across Madagascar’s largest protected landscape. Bird and small mammal encounter rates were negatively associated with exotic carnivore occupancy, but positively associated with the occupancy of four native carnivore species. Spotted fanaloka (Fossa fossana) occupancy was constrained by the presence of exotic feral cats and exotic small Indian civet (Viverricula indica). Hunting was intense across the four study sites where hunting was studied, with the highest rates for the small Indian civet ( individuals consumed/year), the ring-tailed vontsira (Galidia elegans) ( consumed/year), and the fosa (Cryptoprocta ferox) ( consumed/year). Our modeling results suggest hunters target intact forest where carnivore occupancy, abundance, and species richness, are highest. These various anthropogenic pressures and their effects on carnivore populations, especially increases in exotic carnivores and hunting, have wide-ranging, global implications and demand effective management plans to target the influx of exotic carnivores and unsustainable hunting that is affecting carnivore populations across Madagascar and worldwide.",PUBLIC LIBRARY SCIENCE,10.1371/journal.pone.0136456,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136456,,,english,yes,systematic search,Publisher Website,0,,journal article,2015,,,,Farris ZJ,,Golden CD,,Karpanty S,,Murphy A,,Stauffer D,,Ratelolahy F,,Andrianjakarivelo V,,Holmes CM,,Kelly MJ,,,,,
no,no,no,no,Zoological Record,1,non-target species,not reviewed,no,Farris et al. 2017,Threats to a rainforest carnivore community: A multi-year assessment of occupancy and co-occurrence in Madagascar,Biological Conservation,210,,116-124,116,124,9,9,"Protected areas (PA) aim to eliminate many of the threats that species face on the greater landscape. In the last three decades, PA's have expanded considerably; however, quantitative assessments of how well they have mitigated threats to habitat and biodiversity are very limited. Habitat bordering PA's and the wildlife that use it are threatened by a wide-range of anthropogenic pressures (e.g., edge effects, fragmentation, and introduced predators) and this situation is particularly acute for low-density, poorly studied carnivore communities. From 2010 to 2015, we photographically sampled within (contiguous forest) and bordering (degraded, fragmented forest) a UNESCO World Heritage rainforest PA in Madagascar - Ranomafana National Park (RNP). We investigated the effects of invasive predators, local people presence, and habitat quality on the endemic rainforest carnivore community using static, dynamic, and co-occurrence models. We found native carnivores to be absent or have a low probability of occurrence in degraded forest bordering the PA, while local people and dogs (Canis familiaris) had high occurrence. Madagascar's largest endemic carnivore, the fosa (Cryptoprocta ferox) and the much smaller ring-tailed vontsira (Galidia elegans), occurrence in RNP declined rapidly over six years; their strong co-occurrence with dogs suggests interspecific competition, direct aggression/mortality, or disease as the cause. We highlight the dangers posed to biodiversity, particularly carnivores, from anthropogenic pressures bordering PA's and present recommendations to address increased human and dog activity, including programs to control dogs and their impact on biodiversity.",ELSEVIER SCI LTD,10.1016/j.biocon.2017.04.010,https://www.sciencedirect.com/science/article/abs/pii/S000632071730616X,,,english,no,systematic search,UGA Library,0,,journal article,2017,,not-needed,,Farris ZJ,,Gerber BD,,Valenta K,,Rafaliarison R,,Razafimahaimodison JC,,Larney E,,Rajaonarivelo T,,Randriana Z,,Wright PC,,Chapman CA,,,
no,no,no,BIOSIS,no,1,pathological condition,not reviewed,no,Feinstein 1978,Comparative effects of aminotriazole on normal and acatalasemic mice,Journal of Environmental Pathology and Toxicology,1,6,779-789,779,789,11,11,"Some pharmacological and toxicological effects of dietary 3-amino-1,2,4-triazole (AT), a known catalase inhibitor, antithyroid agent, and carcinogen, have been examined, using acatalasemic (Csb) and normal catalase, ""wild-type"" (Csa) substrains of highly inbred C3H and C57BL mice. It was found that (a) the acatalasemic substrains are more resistant to weight loss and death on the AT diet than are their normal catalase counterparts; (b) Csb and Csa substrains of C57BL mice are more resistant to weight loss and death on the AT diet than are the Csb and Csa substrains of the C3H mouse; (c) the liver catalase, as well as the whole body catalase, of the two C57BL substrains is less inhibited by the AT diet than is that of the C3H substrains; (d) mice consuming the same quantity of either normal or AT-containing diet gain much more weight on the normal diet; (e) temporary consumption of the AT diet causes a considerable increase in thyroid weight, with an extremely slow, and only partial, return toward normal weight; and (f) the C3H/Csa mouse on an AT diet develops a scaly, necrotic tail very similar in appearance to the so-called rodent ringtail; this lesion is never observed in the acatalasemic mouse on the same diet.",SAGE PUBLICATIONS INC,none,https://europepmc.org/article/med/731180,,0146-4779,english,no,systematic search,UGA Library,ILL,,journal article,1978,,,,Feinstein RN,,Fry RJ,,Staffeldt EF,,,,,,,,,,,,,,,,,
no,no,no,BIOSIS,no,1,included,no primary data,no,Fields Smith 2019,Hindlimb myology of the kinkajou (Potos flavus),The FASEB Journal,,,1,1,1,1,1,"The kinkajou (Potos flavus) is a common exotic pet in the United States, and is also found in many zoo collections. However, basic information about its anatomy, which is essential for proper veterinary care, is poorly documented. Captive kinkajous often suffer from metabolic bone disorders resulting from inappropriate captive diet. Unfortunately, these bone diseases are difficult to diagnose due to a lack of understanding of baseline anatomy and available references, such as normal radiographs. There is also little understanding of kinkajou locomotion, which is important for understanding how they interact with their environment. The kinkajou can plantarflex and invert its pes (hindfoot) around multiple ankle and pes joints in order to fully reverse the pes 180°; however the myological and osteological adaptions that facilitate this behavior are unclear. Well-developed plantarflexor and invertor muscles were recently hypothesized in species exhibiting hindfoot reversal. However, recent studies of other procyonids do not support this hypothesis.To address the issue of the lack of understanding of basic kinkajou anatomy and its locomotor behaviors, the left and right hindlimbs of an adult male kinkajou were dissected. A detailed description, and documentation of the hindlimb muscles in P. flavus was conducted. Here, we present the first comprehensive review of the muscular anatomy of the hindlimb of P. flavus including detailed anatomical description, muscle maps of the pelvis, long bones, and pes, and comparisons to other documented species of the Carnivoran order.Our dissections revealed that the anatomy of the hindlimb muscles was generally consistent with previous descriptions of other carnivoran taxa, although we observed a few interesting differences. In the thigh, the kinkajou had three bellies of m. semimembranosus, in contrast to two bellies in another procyonid, the ringtail (Bassariscus astutus), giant panda, and the domestic dog. The only other taxa with three bellies were the lesser grison and red panda. In the quadriceps femoris group, the kinkajou most closely resembled the red panda; however, it also shared some similarities in the quadriceps femoris with the ringtail and lesser grison. In the leg, the kinkajou closely resembles the domestic dog and lesser grison in the morphology of the m. gastrocnemius. In m. popliteus, the kinkajou most closely resembles the ringtail.Having this baseline understanding of kinkajou hindlimb functional anatomy, can provide insight into adaptations for its unique locomotor style. This understanding also has implications for proper husbandry by lending itself to the development of more exceptional habitats and enrichments for captive specimens and creating awareness for how any potential changes to environmental habitat could affect their health and well-being.",WILEY,10.1096/fasebj.2019.33.1_supplement.615.3,https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fasebj.2019.33.1_supplement.615.3,,,english,yes,systematic search,Publisher Website,0,conference abstract,,2019,,,,Fields S,,Smith HF,,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,,
no,no,no,no,no,0,included,included,yes,Flores Rojas 2002,"Algunos aspectos alimentarios de los mamíferos medianos en la Reserva de la Biosfera Sierra de Huautla, en el Estado de Morelos",n/a,n/a,n/a,1-46,1,46,46,49,"Se realizaron muestreos mensuales de febrero a septiembre del 2007, con una duración de un día por muestreo en cada localidad.",Universidad Nacional Autónoma de México,none,http://132.248.9.195/ppt2002/0304232/Index.html,none,none,spanish,yes,expert curated,University Library,0,collegiate research,thesis,2002,https://paperpile.com/app/p/d3fcbe30-30fa-0ab8-b93a-ae9d655a18de,not needed,not provided,Flores Rojas A,Universidad Nacional Autónoma de México,none,none,none,none,none,none,none,none,none,none,none,none,,,,,,,,
no,no,no,BIOSIS,no,1,pathological condition,not reviewed,no,Flynn 1959,Studies on the etiology of ringtail of rats,Proceedings of the Animal Care Panel ,9,,155-160,155,160,6,6,,Animal Care Panel ,,,,,english,no,systematic search,UGA Library,ILL,,journal article,1959,,,,Flynn RJ,,,,,,,,,,,,,,,,,,,,,
no,no,no,BIOSIS,no,1,included,no primary data,no,Frye and Lay 1942,Fur resources and fur animals of Texas,"Bulletin of the Game, Fish and Oyster Commission",n/a,n/a,1-41,1,41,41,41,none,"Game, Fish and Oyster Commission",none,none,none,,english,no,systematic search,UGA Library,1,,journal article,1942,,,,Frye OE,,Lay DW,,,,,,,,,,,,,,,,,,,
